computer|电脑
cables|电缆；连线；锚索（cable的复数）
controlled|受约束的, 克制的
concepts|概念, 观念；思想（concept复数形式）
classified|分类的, 被归入某类的, 被指定为机密的
checks|支票；格（check的复数形式）
colleges|专科学院（college复数形式）
contributions|贡献；出资
czech|捷克人, 捷克语
cambridge|剑桥
committed|献身于某种事业的
charged|充满强烈感情的, 带电的, 气氛紧张的
chosen|choose的过去分词
clark|克拉克（男子名）
collected|收集成的, 镇定的
clicking|微小静电干扰声
calculator|计算者, 计算器
const|常量, 常数
candidates|报考者( candidate的复数形式 ); 申请求职者; 攻读学位者; 最后命运或结局如何已显然可见者
charlotte|水果奶油布丁
cutting|切断, 切下, 路堑
cs|文职人员, 行政机构
consultants|顾问( consultant的复数形式 ); 高级顾问医生, 会诊医生
counties|郡, 县( county的名词复数 )
cleveland|克利夫兰
css|[计] 接触起停
contractors|（建筑、监造中的）承包人( contractor的复数形式 )
courts|法院；场地（court的复数）
converted|修改的；改变信仰的
conferences|会议（conference的复数形式）
controller|控制器, 管理者
committees|委员会；街道办事处
capabilities|能力( capability的名词复数 ); 可能; 容量; [复数]潜在能力
cr|[计] 回车, 调用请求
caught|catch的过去式和过去分词
considering|就...而论
closing|结束
columns|塔器
cookies|饼干
cruises|游艇；邮轮旅游；油轮公司（cruise的复数）
collectables|(collectable 的复数) a. 可收集的, 可搜集的, 可征收的
commands|命令, 指令（command复数形式）
columbus|哥伦布（美国一座城市）；哥伦布（意大利航海家）
calculated|有计划的, 适当的, 适合的, 计算出的
cumshot|射精
casinos|（意）乡间住宅；赌场；娱乐场（casino的复数）
coins|硬币（coin的复数）
cafe|咖啡馆, 酒店
christopher|克里斯多夫（男子名）
carrying|[法] 运载
cpu|中央处理器
corrections|修改( correction的复数形式 ); 改[纠]正; 惩罚; 有待改正
consists|由…组成( consist的第三人称单数 ); 包括; 存在于; 表现为（常与 in 连用）
classics|古希腊、古罗马文学（classic的复数）
chairs|安乐椅；餐椅；椅子（chair的复数）
coordinator|协调者, 同等的人或物
coupons|优惠券；息票；[冶金]取样片（coupon的复数）
cialis|西力士（又名犀利士, 壮阳药）
clinton|克林顿（男子名）
commons|平民, 下议院, 公共食堂
confirmed|被证实的, 根深蒂固的, 坚定的
counts|计数, 支数（count的复数形式）
closer|关闭者, 闭合器, 关闭器
creates|[n. 创建；创立
cocks|闷头；塞子；公鸡（cock的复数）
cartoons|卡通动画；动漫图书（cartoon的复数）
chemicals|化学品, 化学制品；化学药品；化工产品（chemical的复数）
couples|一对, 一双；夫妻；力偶（couple的复数）
cst|[医] 惊厥休克疗法
ceo|首席执行官；执行总裁（chief executive officer）
configure|装配, 使成形
config|[计] 显示配置信息命令
cf|[医] 克里斯马斯因子, 补体结合
campbell|坎贝尔（姓氏）
chips|炸土豆条；小木片；（作赌注用的）圆形筹码；缺口（chip的复数形式）
centres|中心( centre的名词复数 ); （市镇的）中心区; 中心点; 中枢
cooling|冷却
cp|[计] 调用处理程序, 字符打印机, 通信处理器, 编译程序包, 控制部件
customize|定制, 按规格改制, 定做
catering|给养；承办酒席；[医]提供饮食及服务
camcorder|摄录像机；便携式摄像机
crm|反雷达措施, 反雷达导弹
craig|克雷格（男子名）
churches|（基督教的）教堂( church的名词复数 ); 礼拜仪式; 教派; 基督教牧师
contributed|已缴入的；贡献的, 分配的
complaints|抱怨( complaint的复数形式 ); 诉苦; 投诉; 疾病
cyprus|塞浦路斯
carter|运货马车夫
cuba|古巴
chevrolet|美国雪佛兰牌汽车
compiled|编译的
compaq|美国康柏电脑公司
cal|[化] 计算机辅助学习
cached|贮藏起来；隐藏起来（cache 的过去分词形式）
cuts|（分摊到的）份额；切口；近路（cut的复数）
chapters|章；回；章节（chapter的复数形式）
charlie|通讯中用以代表字母C的词
caps|盒式磁带程序设计系统（Cassette Programming System）；计算机辅助产品检索（Computer Assisted Product Search）
choosing|选择；决定（choose的ing形式）
collins|柯林斯酒
cartridges|子弹( cartridge的复数形式 ); （打印机的）墨盒; 录音带盒; （唱机的）唱头
cl|[计] 命令语言, 编译程序语言, 计算机语言, 控制线
conditioning|调节, 条件作用, 整修
camcorders|(VCR)摄像机( camcorder的复数形式 )
carl|卡尔（男名）
customized|自定义；客制化；自定义级别
compilation|编辑, 编纂, 编辑(编纂)物
camps|露营, 营地；野营房（camp复数）
commonly|一般, 普通, 通常
constructed|修建( construct的过去式和过去分词 ); 构成; 组成; （按照数学规则）编制
calendars|日历( calendar的名词复数 ); 历法; 日程表; （一年之中的）重大事件（或重要日期）一览表
conclusions|结束( conclusion的复数形式 ); 结论; 推论; 签订
compatibility|兼容性
cad|卑鄙的男人, 下流人, 无赖, 计算机辅助设计
cited|引用（cite的过去分词）
coding|译码
colombia|哥伦比亚
chi|希腊语的第22个字母
corporations|公司, 企业（corporation的复数形式）
causing|成为…的原因（cause的现在分词形式）
claimed|宣称；声称；断言（claim的过去式）
croatia|克罗地亚
contests|争夺, 竞争( contest的第三人称单数 ); 争辩, 提出异议
counters|柜台( counter的名词复数 ); （对意见、态度等的）反对; 计数器; （某些棋盘游戏的）筹码
coaching|辅导；教练技术
cosmetic|化妆品
carriers|（自身不受感染而传播疾病的）带菌者( carrier的复数形式 ); （尤指经营空运的）运输公司; 搬运人; 军输车
connector|连结者, 联系者, 连结物
combo|小型爵士乐团
constraints|强制( constraint的复数形式 ); 限制; 约束
crimes|犯罪（crime的复数形式）
constantly|不变地, 不断地, 时常地
cv|简历（Curriculum Vitae）
cb|平民波段
cents|分, 一分钱的硬币( cent的复数形式 )
colored|染色的
critics|评论家；批评者；吹毛求疵的人（critic的复数）
connectivity|[计] 连通性, 连通度
commander|司令官, 指挥官
connecting|[计] 接线的
chains|枷锁；联营企业；缝条；链条（chain的复数）
celebrities|名誉；名人（celebrity的复数）
cams|凸轮（cam的复数）
comp|[计] 电脑及相关知识; DOS内部命令:比较两个文件的内容
cbs|哥伦比亚广播公司（Columbia Broadcasting System）；共电式振铃设备（Central [Common] Battery Signalling）
catherine|轮圈外缘装有倒钩的车轮, 侧翻筋斗, 轮转烟火, 车轮窗
chuck|抚弄, 赶走, 抛掷, 咯咯声, 颈肉, 卡盘
consolidated|整理过的；巩固的；统一的
considerations|考虑( consideration的复数形式 ); 报酬; 仔细考虑; （对他人的）考虑周到
cox|舵手
cms|教会传教士协会（Church Missionary Society）
calgary|卡尔加里（加拿大西南部城市）
chose|动产
concluded|结束( conclude的过去式和过去分词 ); 得出结论; 断定; 推断出
candles|蜡烛, 烛台（candle复数形式）
chrome|铬, 铬合金
congo|刚果, 刚果河, 工夫茶
cyber|网络的, 计算机的
composed|镇静的, 沉着的
cnn|美国有线电视新闻网络（Cable News Network）
collecting|收集( collect的现在分词 ); 收到; 收藏; 聚积
chad|乍得
cu|[计] 控制器, 立方, 用户占用
compressed|被压缩的, 扁平的
christians|基督教徒( Christian的复数形式 )
challenging|挑战的, 引起争论的
cups|拨火罐（器具）；杯子（cup的复数形式）
cheapest|最便宜的（cheap的最高级形式）
contributors|捐款人( contributor的复数形式 ); 捐助人; 促成因素; 投稿者
clouds|云彩, 白云（cloud复数形式）
competitions|比赛, 竞争（competition的复数形式）
cosmetics|装饰品；化妆品（cosmetic的复数）
concentrations|集中( concentration的复数形式 ); 专心; 关注; 浓度
christianity|基督教, 基督教精神
cgi|[计] 计算机生成图象, 计算机图象接口
christina|克里斯蒂娜（女子名）
colin|科林（男子名）
ci|[计] 输入, 通信接口, 计算机工业, 配置项
concerts|音乐会; 演唱会; （音）协奏曲(concert的复数); 合奏（曲）; 音乐会( concert的复数形式 )
colours|国旗, 旗帜, 船旗, 军旗, 衣帽, 徽章, 绶带
copyrights|著作权；版权（copyright的复数）
chronicles|历代记（旧约）
compiler|编辑者
campaigns|运动( campaign的名词复数 ); 竞选运动; 战役; 季节性竞赛
cfr|运费在内条件（Cost and Freight）；未来研究中心（Center for Future Research）
cruz|（西）克鲁兹（男子名）
clocks|钟表；时钟（clock的复数）
compounds|场地( compound的名词复数 ); 复合物; （筑有围墙的）院子; 复合词
contracting|[法] 缔约的, 承包的
chicks|雏鸡；小鸡（chick的复数形式）
controlling|[计] 控制的
cycles|循环动作；圈数；周期（cycle的复数）
ciao|int. （意）你好；再见（见面问候语或告别语）
chem|化学（chemistry）
cookbook|食谱
connectors|连接器；接插件（connector的复数形式）
conflicts|冲突( conflict的名词复数 ); 战斗; 相互干扰; 矛盾
cant|伪善之言, 黑话, 斜面, 角落
celtic|凯尔特族的, 凯尔特语的
configured|配置的, 组态的；配置
contributing|贡献的, 起一份作用的
clinics|诊所( clinic的复数形式 ); 门诊时间; 私人诊所; 临床实习
costumes|服装（costume的复数形式）
cet|大学英语考试（College English Test）；已校正的发动机的测试（Calibrated Engine Testing）；对外统一关税（Common External Tariff）
cancellation|取消, 作废, 注销戳
counting|计算
childrens|孩子们（child的复数）
captured|俘获( capture的过去式和过去分词 ); 夺取; 夺得; 引起（注意、想像、兴趣）
casting|投掷, 铸成品, 角色分配
cameron|卡梅伦/隆（男子名）
columnists|专栏作家( columnist的复数形式 )
carlos|卡洛斯（男子名）
copying|誊写, 复写
cordless|无绳索的, 交直流两用的
chances|机会( chance的名词复数 ); 偶然; 风险; 某事发生的可能性
calculations|计算器；计算, 运算（calculation的复数形式）
conducting|引导( conduct的现在分词 ); 带领; 控制; 传导
calculators|计算器（calculator的复数）
capitol|国会大厦, 州议会大厦, 朱比特神庙
chrysler|[经] 克莱斯勒
charleston|查尔斯顿
champions|夺标；盟主；冠军（champion的复数形式）
comparing|[计] 比较器
copied|已复制的；复制的
completing|完成; 使完善( complete的现在分词 ); 使完整; 填写（表格）
copyrighted|有版权的；受版权保护的
coaches|长途客运汽车( coach的复数形式 ); （铁路）旅客车厢; 教练; 指导
containers|集装箱；容器
custody|监护, 拘留, 监禁
comm|委员会（committee）；通信（communication）；商业, 贸易（commerce）；佣金, 委任书（commission）
competitors|竞争者( competitor的复数形式 ); 对手; 参赛者; 竞赛者
col|出口, 山坳
cia|中央情报局
cons|[计] 面向连接的网络服务
cheers|interj. 干杯, 再见
complications|并病；并发症（complication的复数）
chester|切斯特（美国港口城市）；切斯特（英国一城市）
caring|有同情心的；表示或感到关怀或关心的
cn|[计] 通信网络
comparisons|比较( comparison的复数形式 ); [修辞学]比喻; [语法学]（形容词或副词的）比较等级; 类似
crap|废物, 废话
cg|重心
consisting|由…组成( consist的现在分词 ); 包括; 存在于; 表现为（常与 in 连用）
citations|引用( citation的复数形式 ); 引证; 引文; 表扬
championships|锦标赛( championship的复数形式 ); 冠军的地位（称号、等级、保持称号的时期）; 维护; 支持
cleaners|干洗店
cashiers|出纳员( cashier的名词复数 )
compliant|顺从的, 屈从的
closest|最靠近的（close的最高级）
conferencing|[计] 召开会议
christine|克莉丝汀（女子名）
clarke|克拉克（姓氏）
claire|克莱儿（女子名）
carroll|卡罗尔（罗马人的姓）
chambers|钱伯斯（姓氏）
carries|传递；携带；运载；怀孕（carry的第三人称单数形式）
clicks|点击数；滴答声（click的复数）
cabinets|内阁( cabinet的复数形式 ); 橱; （有特殊用途的）小房间; 展览艺术品的小陈列室
combining|结合性的, 化合的
consoles|（机器、电子设备等的）控制台( console的名词复数 ); 操纵台; 悬臂; 肘托
cayman|宽吻鳄, 凯门鳄
congratulations|祝贺词, 祝贺语
cohen|科恩（姓氏）
cigarettes|纸烟, 香烟( cigarette的复数形式 )
controllers|（尤指大型机构或部门的）管理者( controller的复数形式 ); 控制者; （机器的）控制器; （公司的）财务总管
chen|陈
conventions|惯例；会议；约定（convention的复数）
coordinates|坐标；相配之衣物
cornell|康奈尔（姓氏）
chan|通道（槽, 沟）
competing|相互矛盾的；抵触的
combines|（使）联合( combine的第三人称单数 ); 兼有; 兼备; 使融合（或并存）
chelsea|切尔西（伦敦自治城市, 为文艺界人士聚居地）
considers|考虑( consider的第三人称单数 ); 想; 注意; 看重
catalogs|目录；一览表；分类（catalog的复数）
coupled|联接的；成对的；耦合的；共轭的（couple的过去分词形式）
circuits|环路；巡回；电路（circuit的复数）
cos|余弦
centuries|100年, 一世纪( century的名词复数 ); 100分; 千秋
computational|计算的
combinations|合谱；组合；制品（combination的复数）
condo|共同统治, 共管下的政府, 共管, 多层公寓大楼, 由个人占用的一套公寓房间
contacted|联络（通过电话或信件）( contact的过去式和过去分词 ); 使接触; 与（某人）接触（或交往）, 与…联系; [美国英语]与…通讯（或通话）
cdt|（美国）中央时区（Central Daylight Time）
casio|卡西欧（日本电子品牌）
