moon|月亮
milos|买罗高梁，西非高梁白[黄]穗芦粟( milo的名词复数 )
manchet|[古][英方](上等面粉制的)白面包
martialness|martial的变形
mau|[计] 媒体连接器, 多访问部件
margined|[医]具边的
medicinally|用药物, 当做药
metasome|[地]新成体
massecuite|(制糖时)煮沸浓缩后的甘蔗汁( 即糖结晶体与糖浆混合物)
manatee|海牛
moas|(moa 的复数) n. 恐鸟
mohammed|穆罕默德(伊斯兰教创始人)
medicals|医学的( medical的复数形式 ); 医疗的; 医术的; 内科的
monographs|专著, 专论( monograph的复数形式 )
moreness|more的变形
melatope|光轴点, [pl. ]光轴影
megadontia|[医]巨牙 (亦作 megadontism, megadonty)
marvellously|绝妙地, 惊奇地, 不可思议地
morula|[动]桑椹胚
modelled|& vi. 做模特儿（model的过去式与过去分词形式）
metrologist|计量学家
mythographer|神话收集者, 神话讲述者
motordrome|汽车试车场, 赛车道路
midautumn|仲秋
mucronated|有尖端的, 棘状的
melursus|[网络] 懒熊属
mudfish|泥鱼
moniker|名字, 绰号
manism|崇拜祖先
malter|[人名] [英格兰人姓氏] 莫尔特职业名称，酿造者，来源于中世纪英语，含义是“麦芽”(malt); [人名] [英格兰人姓氏] 莫尔特地貌名称，来源于古法语，含义是“贫瘠的土地”(bad land)
molar|磨碎的, 臼齿的, 摩尔的, 克分子的
metaxenia|[植]后生异粉性,果实直感
meriting|值得, 应获得( merit的现在分词 ); [宗教]（因行善而）应得（善报）; 应受赏（或罚）, 应受报答; [宗教]积德
medullated|有髓的
manilla|马尼拉, 吕守烟, 马尼拉麻, 白棕绳, 吕守绳
muraenidae|[网络] 糯鳗亚目；鯙科；海鳝科
marabou|秃鹳, 秃鹳毛
miscreating|误造, 误创, 误作
masticable|可咀嚼的
manchurian|满族人
mouthwash|漱口剂, 洗口药
minacity|威吓性, 威胁性
mercurate|用汞处理
mips|[计] 每秒百万条指令数
meed|报酬, 奖赏
miscalling|叫错…的名字, 误称( miscall的现在分词 )
matriarchs|女家长, 高雅的老妇人( matriarch的复数形式 )
mollienisia|[鱼]帆鳍鳉( 一种观赏鱼)
metazoea|[动]后(期)水蚤幼虫
maidu|迈杜人(美国加利福尼亚州的美洲印第安人的一支); 迈杜语
murmi|[网络] 又称穆尔米人；菩提亚人或穆尔米人
muckite|穆氏树脂石
millionaires|百万富翁( millionaire的复数形式 ); 大富翁; 大财主; 有钱人
misexplain|错误解释
mashing|打浆；淀粉糖化
mozzetta|(天主教会首脑披于法衣之外的)带兜帽短斗篷
melodizing|谱成乐曲( melodize的现在分词 )
molal|(重量)克分子的
methyprylon|[化] 甲乙哌酮; 脑了达
mandrills|[脊椎] 山魈（西非洲产的大沸沸）
migraine|严重的周期性偏头痛
matai|萨摩亚人的部落酋长氏族族长
mesnalty|[律]中间领主的封地(或身份)
midrash|(从犹太人被巴比伦俘虏奴役起至公元1200年间所作的)犹太法学博士的圣经注释
marcid|凋萎的, 皱缩的
multimegaton|(热核武器)有数百万吨级爆炸力的
micawberism|空想乐天主义
monesia|[医] 巴西金叶树浸膏
musters|集合, 召集, 集结（尤指部队）( muster的第三人称单数 ); （自他人处）搜集某事物; 聚集; 激发
moll|情妇, 妓女
mittens|连指手套, 露指手套( mitten的复数形式 )
manxman|马恩岛人, 马恩岛居民
macaroon|蛋白杏仁饼干
marshman|沼泽地居民, 在沼泽地谋生的人
mythmaker|神话创作者; 虚构者, 杜撰者
macedonians|马其顿人；马其顿派（Macedonian的复数）
menotyphla|[网络] 盲肠目
marcan|(基督教四福音书作者之一) 马可的, 《马可福音》的
mandola|大型曼陀琳(琴)
mcf|mille cubic feet 千立方英尺
minivet|山椒鸟
majorship|少校的职位
midparent|中间亲, 双亲中值, 中亲值
menservants|manservant 的复数
myeloic|[医] 中性髓细胞的
macrotin|[医] 美升麻脂
microsoma|[医] 矮小[身材], 微粒体
multivariate|[计] 多元
manorialize|置…于庄园制度下
mycologic|真菌学的
maire|莫雅（女子名）
muckle|多量, 重要的事
mobber|欺负者、大欺小或强凌弱的人
minutia|细节, 琐事
menstruant|[医] 有月经者
mugful|一大杯的容量
minas|[地名] [厄瓜多尔、古巴、乌拉圭、印度尼西亚] 米纳斯
messines|[地名] [加拿大] 梅西讷
messaged|通知（message的过去式与过去分词形式）
mesocoelia|[医] 中脑水管, 西耳维厄斯氏导水管
mechanology|机械学, 机械学论文
mols|(mol 的复数) n. 摩尔, 克分子
minicam|小型照相机
myxedematous|[医] 粘液[性]水肿的
monochromes|(monochrome 的复数) n. 单色画, 单色, 黑白
marattia|观音座莲属；莲座蕨属
mutase|[生化]变位酶
montadale|蒙特代羊(一种产于美国密苏里州用哥伦比亚羊与雪福特羊杂交育成的羊,以毛厚肉美著称)
mavourneen|<爱尔兰语>宝贝,亲爱的
merluccius|[医]无须鳕
mopstick|拖把柄
morton|莫顿（男子名）
meltdowns|彻底垮台( meltdown的名词复数 )
miracidium|纤毛幼虫, 毛蚴
mirrorlike|镜似的
miso|味噌, 日本豆面酱
millepore|千孔虫
mingo|(Mingo)人名；(意、西、英)明戈
morrhuin|鳕肝尸胺
magog|[人名] 梅戈格; [地名] [加拿大] 梅戈格
maldivian|马尔代夫(群岛)的,马尔代夫人的
muskat|[网络] 斯卡特；慕斯卡特；穆什卡特
monotypic|单型的
malleoli|平衡棒
melene|蜂花烯, 三十碳烯
myohematin|肌高铁血红素, 肌细胞色素
mycetology|真菌学
mirvs|(mirv 的复数) abbr. Multiple Independently (Targetable) Re-entry Vehicle 多弹头分导重返大汽层运载工具
militantness|militant的变形
misprint|印错, 印刷错误
micrognathia|[医] 小颌
manufactures|制成品（manufacture的复数）
maharishi|（印度的）智者, 圣贤
mogo|<澳>(土著居民用的)短柄小石斧[新南威尔士土著语]
molestations|(molestation 的复数) n. 调戏, 干扰, 妨碍
misplacement|误放, 遗忘; 错位
mamilla|乳头
mastix|[化]乳香
marl|泥灰, 泥灰土, 土
medicolegal|法医学的
mano|（美）上磨石；流体压力表
muzhiks|(muzhik 的复数) n.农人, 农夫
macropyramid|长轴锥
marasmoid|(进行性)消瘦样的
myotic|瞳孔收缩剂
motions|（物体的）运动( motion的名词复数 ); 提议; 通便
micropenis|[医] 小阴茎
malacopoda|软足亚门
mallophaga|[医] 食毛目
misogamy|厌恶结婚
mandatorily|命令地
multilineal|多线的
misjoined|[网络] 错误地
mnemonical|帮助记忆的, 记忆术的
matrah|马特拉[阿曼北部港市]
monozygotic|[医] 单合子的
marlinespike|穿索针, 解索针
materialise|vt. (使)物质化, (使)具体化, (使)追求物质利益, (使)显形, 成为事实, 实现
masterdom|支配
maneuvers|策略, 谋略, 花招( maneuver的名词复数 )
microchip|微型集成电路片, 微片, 芯片
mudspate|泥流
metage|称量, 计量费
maleability|可锻性
mobbism|暴乱行为,无法无天的行为
myelonic|[医] 脊髓的
mithraist|& adj.密特拉神的信徒(的), 密特拉教教徒(的)
maven|内行, 专家
muciferous|生黏液的,分泌黏液的,充满黏液的
moca|(Moca)人名；(罗)莫卡；(塞)莫察
myrick|[人名] 迈里克; [地名] [美国] 迈里克
monegasque|摩纳哥的；摩纳哥人的
moshav|<希伯来>n.莫夏夫( 以色列的一种土地私有、本人劳动、共同销售的农业合作居民点)
mandator|命令者, 委任者
microprogram|[计] 微程序
manganosite|方锰矿
manitou|(北美土人的)神灵
mosaics|马赛克( mosaic的复数形式 ); 镶嵌; 镶嵌工艺; 镶嵌图案
mesosuchia|中鳄亚目
maids|鼠艾滋病（the Mice AIDS）
myoedema|[医] 肌水肿; 肌耸起
murmuring|抱怨的声音；喃喃的声音
mementos|纪念品, 令人回忆的东西( memento的名词复数 )
mensch|公正的人；受尊敬的人；高洁的人
monolog|独白, 独脚戏, 独白场面, (非正式)(贬)滔滔不绝的话
mesostethium|中胸腹板
minutiose|关心小事的,注意琐碎细节的
makua|(pl.Makua, Makuas)马库阿人(莫桑比克北部和附近的坦噶尼喀人)
metaphyte|[植]后生植物 , 多细胞植物
multilocular|[生]多室的( 指具有许多小室或囊泡的)
multivalve|多瓣的
medellin|麦德林(哥伦比亚城市)
monothetic|单生的, 单一生成的
meshuga|发疯似的, 失常的
maxillary|颌的, 上颌骨的
medusa|水母
metazoans|后生动物的；多细胞动物的
merman|男性人鱼, 善泳的男子
matriline|母系
muskwood|[植]麝香树
motionlessly|不动地（motionless的副词）
mesodermal|[医] 中胚层的
mullocker|废石装运工
myotrophy|[医] 肌营养
manipulated|熟练控制[操作]( manipulate的过去式和过去分词 ); （暗中）控制, 操纵, 影响; 正骨; 治疗脱臼
megaseism|剧震
martaban|马达班[缅甸]
monostable|单稳态的
megarian|& n.[哲]麦加拉学派的(成员)(麦加拉学派是古希腊小苏格拉底派之一)
mastabah|石室坟墓
misbound|(书籍)装订失当的,装订错误的
maskalonge|[鱼]北美狗鱼
meristem|分生组织
marshaling|把货车等编级的
microfloral|微生物区系, 微生物群落
muckier|粪肥的, 肮脏的( mucky的比较级 )
moored|系泊的；停泊的
micrococcus|微球菌
modifiable|可修正的, 可变更的, 可修饰的, 可缓和的
mether|(旧时爱尔兰用的)木制方酒器
micrurgical|[医] 显微操作的
miche|偷窃
micrurus|[网络] 珊瑚蛇属；二名法；意大利品牌
murex|骨螺
muscicolous|[植]苔上生的,苔间生的
mythopoeic|创作神话的, 神话时代的
moly|有白花和黑根的魔草
metrocele|[医] 子宫疝
murillo|[人名] 穆里洛; [地名] [玻利维亚、哥伦比亚] 穆里约; [地名] [加拿大] 缪里洛
millimol|[医] 毫克分子, 毫模
mammiferous|有乳房的
marinaded|腌泡（marinade的过去式与过去分词形式）
mentimeter|[医] 智力测验器
merogenetic|[医] 卵裂的
midbody|中间体
matlow|水手
melinae|[动]獾亚科
mungo|短弹毛
moneychanger|货币兑换商, 货币兑换机
micrograms|(microgram 的复数) n. 微观图
mescaline|墨斯卡林
musette|(法国的)小风笛, 缪赛特曲
mogs|(mog 的第三人称 -s形式) vi. 沉重缓慢地走
matroid|矩阵胚, 拟阵
moronity|低能, 鲁钝
meromorphic|[数]亚纯的
marvy|int. <美俚>妙极了,好极了
microcytic|小红细胞
mazer|(金属或木制)大杯, 大盏
mismating|错误接合, 错配合
monont|[医] 裂殖体
mesohippus|中马属
makimono|<日>n.书画卷轴
metonymous|[网络] 换喻的
malts|麦芽（malt的复数形式）
mesosoma|[医] 中等身材
mingles|混合, 混入( mingle的第三人称单数 ); 混进, 与…交往[联系]
machinable|可机加工的
menuridae|琴鸟科
milktoast|胆小者, 意志薄弱的人
mikania|[网络] 假泽兰属；蔓泽兰属；二名法
maskanonge|[鱼]北美狗鱼
mycetogenous|霉菌所致的; 霉菌原的
melanitic|melanite的变形
myelopathic|[医] 脊髓病的; 骨髓病的
missives|信件( missive的复数形式 )
multivoltine|(尤指昆虫)多化的,多抱的
mailer|邮寄者, 邮船, 包装邮件的东西
monstrance|圣体匣
myalgia|肌痛
monactin|单活菌素
microsporon|[医] 小孢子菌属
myopathy|肌病
morph|[计] 形态, 词态
muds|泥, 泥淖（mud的复数形式）
mujik|(=muzhik)农夫
melalgia|肢神经痛
macassar|望加锡头(发)油
misusage|误用, 滥用, 虐待
mightily|强烈地, 非常地
molles|[地名] [法国] 莫勒; [地名] [秘鲁、乌拉圭] 莫耶斯
magnifier|放大镜, 放大器
mischosen|,vi. mischoose的变形
mineralizer|矿化剂
mesdames|<法>（用于已婚妇女姓名前的尊称）太太, 夫人, 女士( madame的名词复数 )
meconology|[医] 鸦片学
mediaevalism|中世纪精神[特征, 信仰, 风俗]
moratorium|延期偿付, 暂停
misgauge|[网络] 误报
machinelike|机器般的
midyear|年中, 学年中期
mobilization|动员, 调动, 活动法
maguey|龙舌兰, 龙舌兰纤维
mainspring|主发条, 主要动机, 主要原因, 主要动力
metadiorite|变闪长岩
mislabeled|贴错标签
montia|小鸡草属
motorcades|一长列汽车, （汽）车队( motorcade的复数形式 )
monadina|[医] 纤毛滴虫属
mongst|在…之中
markstone|标石
mitral|二尖瓣的, 僧帽状的
membraniform|膜样的
morpion|阴虱
melania|[医] 川蜷螺属
millpond|用水池, 水车用贮水池
motorable|<主英>(道路或地区)可行驶汽车的
mazhabi|马扎比(由伊斯兰教改信锡克教者,主要在印度旁遮普邦)
mazopathia|[医] 胎盘病, 乳房病
maros|(Maros)人名；(匈)毛罗什
micks|[人名] 米克斯
malaxerman|拌料工
minces|切碎( mince的第三人称单数 ); 剁碎; 绞碎; 用绞肉机绞（食物, 尤指肉）
metonymical|换喻的, 转喻的
millieme|米利姆(埃及和苏丹辅币名,1000米利姆 = 1 pound)
measliest|患麻疹的；极少的；低贱的 (measly的变形)
masthelcosis|(=mastelcosis) 乳房溃疡
myzostome|吸口虫
misclassify|对…进行错误的分类
mangiest|mangey的变形；mangy的变形
monomaniacal|狂热的, 偏执狂的
mammilliform|乳头状的
microsegment|[语]小音段
manikin|侏儒, 人体模特, 时装模特
mea|维修工程分析（Maintenance Engineering Analysis）；β-巯基乙胺（β-Mercaptoethylamine）；沿航线最低高度（Minimum Enroute Altitude）
motorman|电车司机
malus|[天]船樯星座, 罗盘星座
magnifying|[医] 放大的
metapolitics|[复]n.[用作单]抽象政治学,理论政治学, <贬> 空头政治学
muscleman|打手
maslin|[英](小麦和黑麦等的)混合粉, 混合粉面包, 谷类和豆类间种的庄稼, 混合物
muzhik|农人, 农夫
misanthrope|厌恶人类的人, 不愿与人来往者
misdealt|misdeal的过去式和过去分词
machineman|印刷工人, 钻石工人
mourning|哀痛, 居丧, 举哀, 哀悼, 丧服, 戴孝
magnanimity|宽宏大量
morrow|次日
multiplet|[物]多重谱线, 多重态
macroblast|巨成红细胞, 幼巨红细胞
milliampere|毫安
maray|[人名] 马雷
musculus|[医] 肌
melteigite|[地质]霞霓纳辉岩
monoclinic|[晶体] 单斜的；[晶体] 单斜晶体的
micrococci|微球菌, 球状细菌( micrococcus的名词复数 ); [医]〔单micrococcus〕微球菌
mepacrine|<英>[药]麦帕克林,阿的平(抗疟药)
milliammeter|毫安计, 毫安表
misgovernor|治国不善者, 行虐政的人
morada|[网络] 莫拉德干红葡萄酒；莫瑞达；紫黑色
mamelukes|(mameluke 的复数) n. 奴隶
madreporic|[医] 石珊瑚状的
misgiving|疑虑, 不安, 害怕, 担扰, 疑惧
masklike|[医]假面具样的, 面具样的
magyar|马札尔人, 乌戈尔语
mizzen|后桅
megafog|浓雾警报器
minicars|(minicar 的复数) n. 微型小客车
motherlands|祖国（motherland的复数形式）
melanemia|[医] 黑血[症]
millrace|水车用的水流, (磨坊)引水槽
menshevist|<俄>n.孟什维克, 孟什维主义者
moneymakers|(moneymaker 的复数) n. 很会赚钱的人
merocrine|局泌的, 局部分泌腺的
muscovites|俄国人；莫斯科居民
monotreme|单孔目动物
miotic|瞳孔缩小的
marinades|腌泡（marinade的第三人称单数形式）
mediofrontal|[医] 额中部的
manta|女用披巾, 外套
mousseline|真丝薄稠
morphologies|形态论; [语] 词法（morphology的复数形式）; [生物][晶体] 形态学
missionize|传教
memorizing|记忆；熟记
mampalon|[印尼]獭狸
maeonian|[网络] 湄公河
mainlanders|(mainlander 的复数) n. 本土人, 大陆人
monologues|（戏剧）长篇独白( monologue的复数形式 ); 滔滔不绝的讲话; 独角戏
montessori|蒙台梭利(Maria, 1870-1952意大利女医师及教育家)
menilite|[地质]硅乳石
minimite|共结花岗岩
megadeaths|(megadeath 的复数) n. 一百万人之死亡
myoelectric|[医] 肌电的
malonylurea|[化]丙二酰脲, 巴比土酸
moldable|[化] 可模压的; 适于模压的
menosepsis|[医] 月经滞留中毒
mistic|(=mistico)(地中海)小型大三角帆帆船
morgen|摩根(荷兰、南非等的地积单位,合2.116英亩)
maniac|发狂的, 癫狂的, 疯狂的
mothered|母亲；大娘；女修道院院长
mayo|[口]蛋黄酱（等于mayonnaise）
meddler|爱管闲事的人, 干涉者
murky|黝暗的, 阴沉的, 朦胧的
madnesses|(madness 的复数) n. 疯狂, 愚蠢的行为
matchmark|(为装配机器而在零件上所作的)装配标记
mirish|[网络] 米里
mounties|mounted policemen (especially Royal Canadian Mounted Police) 骑警（尤指加拿大皇家骑警）
mazalgia|[医] 乳房痛
multiped|多足动物
magnetoscope|验磁器
muhlenbergia|[网络] 乱子草属
mortlake|<英>[地]弓形湖,牛轭湖
maund|莫恩德(重量单位)
methylation|[化] 甲基化作用(指加甲基作用和加甲醇使酒精变性的作用)
myological|myology的变形
mucilage|粘质物, 粘液, 胶水
malleating|锻；压延；将…锤薄
melting|熔化的, 温柔的, 令人感动的, 甜美的
makefast|系船柱
mordenite|发光沸石
manwise|人一般地,像人一样地
metropathy|[医] 子宫病
mideast|中东的
magot|(中国及日本的瓷器或象牙制品等的、装在瓶盖等上面作捏手的) 奇形偶像
murkiest|阴暗的( murky的最高级 ); 昏暗的; （指水）脏的; 混浊的
metazoal|[动]后生动物, 多细胞动物
microgyne|小型雌蚁
mammea|[网络] 黄果木属；格脉树属；满美果属
mealybug|[昆]水蜡虫,粉蚧
meu|[植]秃钱芹
milesimo|米莱西莫(智利旧辅币名)
mastigoneme|茸鞭茸毛
mongrelizing|（种族主义者污蔑性用语）使血统混合, 使成杂种, 使成混合种( mongrelize的现在分词 )
monophone|送受话器, 收发话器
mozetta|(天主教会首脑披于法衣之外的)带兜帽短斗篷
matricidal|杀母的
manchette|(椅子的)靠手垫
microtubular|微导管
memoranda|备忘录, 节略, 便笺, 便函
metagenetic|metagenesis的变形
malakin|马拉锦
mutilates|严重残害…的身体, 使残缺不全, 肢解( mutilate的第三人称单数 )
monoamine|[化] 一元胺
meditates|深思, 沉思, 冥想( meditate的第三人称单数 ); 内心策划, 考虑
mansuetude|温顺, 柔和
mullets|(mullet 的复数) n. 胭脂鱼
mukhtar|(阿拉伯或土耳其经选举产生的) 镇长, 乡长
moyo|[地名] [刚果共和国、刚果民主共和国、乌干达] 莫约
myelic|[医] 脊髓的; 骨髓的
mariology|圣母马利亚研究, 关于圣母马利亚的学说
marigolds|金盏花（marigold的复数形式）
mesoscutum|中胸盾片
monoatomic|单原子的
meroxene|黑云母类
misspelled|拼写错( misspell的过去式和过去分词 )
moran|莫兰（人名）
millirems|(millirem 的复数) n.[核]毫雷姆(=1/1000雷姆,略作mrem)
maggots|蛆虫（maggot的复数）
mecon|罂粟
mosul|摩苏尔[伊拉克北部城市]
merism|[植]分生性
motocar|汽车
macaroni|通心面, 纨绔子弟
momordica|[医] 苦瓜属
mesmerise|对...施催眠术, 使目瞪口呆, 使入迷
mechanists|(mechanist 的复数) n. 机械技师, 机械学者, 机械论者
mawkish|淡而无味的, 令人作呕的, 感伤的
moresco|&([复]-coes)n.=Morisco
museology|博物馆学
muriform|[植]壁砖状的
molinist|莫林那主义；莫利那教 (Molinism的变形)
mealiest|[南非英语]；[复数]-lies玉米, 玉蜀黍
mobilisation|动员, 运用
metaller|钣金工
meekest|温顺的, 驯服的( meek的最高级 )
murtherer|murther的变形
megaptera|[网络] 座头鲸属；大翅鲸属；梅氏隐带丽鱼
myenteric|[医] 肠肌层的
mobilizer|[医]剥离器, 活动器
mulattress|穆拉托女人
ministration|牧师执职, 服侍, 援助
mycohemia|[医] 霉菌血症
mandalay|曼德勒(缅甸城市)
muid|[网络] 缪；新浪无线设计中心；辨识器
muhly|乱子草
mamaguy|& n.<加勒比英语>哄,哄骗
majored|主要的；重要的；主修的；较多的
misspeaks|讲错，发错…的音，使讲得词不达意( misspeak的第三人称单数 )
megalosaurus|斑龙
multispeed|[计] 多速率
margaric|珍珠的, 珍珠般的
mahican|马希坎部落(美国印第安人的一个部落, 主要居于哈德逊河上游流域), 马希坎人的, 马尔代夫[亚洲], 马尔代夫人[语]
mahala|玛哈拉（女子名）
mosquitoey|蚊子多的
masham|(英国)马沙姆杂交羊
montant|(嵌板的)竖杆
mealworm|大黄粉虫幼体
muskhogean|(北美印第安语群中的)马斯科吉语组
myeloblast|[生]成髓细胞,原(始) 粒细胞
messengers|信使, 信差, 送信人( messenger的复数形式 )
malcontented|不满的；不满现状的；反抗的
metagenic|交替的
modulus|标准, 系数, 模数
marplot|好干扰他人的人, 捣乱者
metaplasis|[动]成熟期, 完全发育期
mercuride|汞化物
myxobacteria|粘细菌
misliking|厌恶( mislike的现在分词 )
mitigates|减轻, 缓和( mitigate的第三人称单数 )
mangifera|[网络] 芒果属；杧果属；芒果树
microfilaria|[动]微丝蚴
mudwort|水芒草属
myrmecophaga|食蚁兽属
mercaptol|[化]缩硫醇
mermithogyne|索寄生雌蚁
matronship|主妇的身分
mouselike|胆小如鼠的；灰头灰脸的；老鼠的
mohegan|莫希干人(居住在美国康涅狄格州的北美印第安人)；=Mahican
monopolists|(monopolist 的复数) n. 垄断者, 专卖者, 垄断论者
mahaleb|[植]马哈利酸樱桃(其核可制香水, 亦作mahaleb cherry)
mitigatory|缓和的, 减轻的
muttered|轻声低语, 咕哝地抱怨( mutter的过去式和过去分词 )
mendy|曼迪（人名）
maglemosean|马格尔莫斯文化的, 北欧中石器时期文化的
mediosilicic|中硅质的; 中性的
meiobar|低压区
machiner|机床, 机器, 机械；机关, 机构
mangoro|[地名] [马达加斯加] 曼古鲁河
multicolored|多种色彩的, 五彩缤纷的
micromeria|小薄荷属
masterwort|[网络] 阿尔卑斯山冰花；无符合资料
methodistic|循道宗教徒的
monarchizer|像君主那样统治, 实行君主统治
mitraille|[军]小铁霰弹
misadvised|误导, 给错误的劝告
melodizer|melodize的变形
melton|麦尔登呢
marque|商品型号
matchet|弯刀
microcosmic|小宇宙的, 小世界的, 微观的
micrograph|显微图
myxedema|粘液水肿
madrigaler|抒情短诗；情歌；(无伴奏的)重唱歌曲
mitosome|纺锤剩体
macaca|[医] 猕猴属
mandrel|心轴
millibarn|毫靶恩
mecometer|婴儿长度计
moormen|(Moorman 的复数) n.摩尔人,穆斯林,伊斯兰教徒
myosin|肌浆球蛋白, 肌凝蛋白
muthmannite|[矿]板碲金银矿
moolvee|回教的法学者;学者;老师
megass|甘蔗渣
monomark|代号, 标记
maisonettes|公寓；小房屋
mentholated|含薄荷醇的
moonwalker|月面行走者
moskeneer|<英>以超出典品价格典当,超价典当
maturating|成熟( maturate的现在分词 )
mischoosing|选择错误
maidan|<印> 练兵场, 操场
maltobiose|[化]=maltose
metacentric|具中间着丝粒的
mischances|厄运, 不幸( mischance的复数形式 ); 倒霉事
makeless|无配偶的；无配对物的
mucorales|[医] 毛霉菌目
matutinal|早晨的, 黎明的, 早的
morphic|形态学(上), 语形学的
menispermum|[网络] 蝙蝠葛属
migrator|候鸟, 移居者
minoan|克里特文化的
marmalade|(橘子等制成的)果酱
meany|小气鬼, 卑鄙家伙
mastectomy|乳房切除术
maggoty|狂想的, 多蛆的
mustards|(mustard 的复数) n. 芥末, 芥菜, 强烈的兴趣
manipulable|可以操作的, 可操纵自如的
mazopexy|乳房固定术
musings|沉思；冥思；冥想（musing的复数形式）
metaphysis|[解]干骨后端
mycetomas|足分支菌病( mycetoma的名词复数 )
melees|<主文> 混战( melee的复数形式 ); 乱战; 混乱; 混乱的人群
macronuclear|macronucleus的变形
matchbox|火柴盒
mneme|[心][生理]记忆力, 记忆基质
manes|灵魂；阴间的诸神
mobbing|聚扰
maloperation|[计] 不正确操作
mortared|砂浆砌合的；砂浆涂抹的；黏合的
malt|麦芽
machicolated|开堞眼（枪眼）( machicolate的过去式和过去分词 )
